,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Kamera cofania,Kurtyny powietrzne,Poduszki boczne przednie,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Elektryczne szyby tylne,Klimatyzacja automatyczna,Nawigacja GPS,Relingi dachowe,Centralny zamek,Immobilizer,Radio fabryczne,Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Komputer pokładowy,Podgrzewane lusterka boczne,Tempomat,Metalik,Bezwypadkowy,Klimatyzacja manualna,Czujnik deszczu,Czujnik zmierzchu,VAT marża,Alarm,Tapicerka welurowa,ASR (kontrola trakcji),Przyciemniane szyby,Radio niefabryczne,Isofix,Ogranicznik prędkości,Poduszki boczne tylne,MP3,Perłowy,Elektrochromatyczne lusterko wsteczne,Światła przeciwmgielne,Uszkodzony,Podgrzewane przednie siedzenia,Światła Xenonowe,Poduszka powietrzna chroniąca kolana,Dach panoramiczny,Ogrzewanie postojowe,Szyberdach,Elektrochromatyczne lusterka boczne,Hak,Bluetooth,Gniazdo AUX,Filtr cząstek stałych,Gniazdo SD,Światła LED,Asystent parkowania,Gniazdo USB,HUD (wyświetlacz przezierny),Odtwarzacz DVD,Światła do jazdy dziennej,Akryl (niemetalizowany),Asystent pasa ruchu,Czujnik martwego pola,Klimatyzacja dwustrefowa,Podgrzewana przednia szyba,System Start-Stop,Leasing,Emisja CO2,Tapicerka skórzana,Miesięczna rata,Tempomat aktywny,Tuning,Zmieniarka CD,Podgrzewane tylne siedzenia,Elektrycznie ustawiane fotele,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Regulowane zawieszenie,Kierownica po prawej (Anglik),Klimatyzacja czterostrefowa,Zarejestrowany jako zabytek,Homologacja ciężarowa,Matowy,Łopatki zmiany biegów
0,50300,Firmy,Osobowe,Opel,Astra,K (2015-),2015,105 545 km,1 956 cm3,Diesel,165 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,Polska,2 marzec 2015,Tak,Tak,Tak,Używane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9000,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2006,303 000 km,1 300 cm3,Diesel,90 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,0,0,0,30 kwiecień 2007,Tak,0,0,Używane,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,Tak,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13200,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2007,194 554 km,1 900 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,0,0,Niemcy,0,Tak,0,0,Używane,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Tak,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5700,Osoby prywatnej,Osobowe,Opel,Astra,G (1998-2009),2007,213 000 km,1 600 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kombi,4,5,Czerwony,0,0,Polska,0,Tak,0,Tak,Używane,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Tak,1,0,0,Tak,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11600,Firmy,Osobowe,Opel,Astra,H (2004-2014),2008,232 908 km,1 700 cm3,Diesel,101 KM,Manualna,Na przednie koła,Kompakt,3,5,Niebieski,0,0,0,0,0,0,Tak,Używane,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12900,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2005,188 200 km,1 248 cm3,Diesel,90 KM,Manualna,Na przednie koła,Kompakt,5,5,Niebieski,0,0,Niemcy,27 październik 2005,Tak,0,0,Używane,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,Tak,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10500,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2004,224 000 km,1 700 cm3,Diesel,101 KM,0,0,Kompakt,0,0,Szary,0,0,0,0,Tak,0,0,Używane,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,Tak,0,0,1,1,0,0,1,1,0,0,1,0,1,1,Tak,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14999,Osoby prywatnej,Osobowe,Opel,Astra,J (2009-2015),2013,71 386 km,1 686 cm3,Diesel,0,Manualna,0,Kombi,0,0,Srebrny,0,0,Niemcy,0,0,0,0,Używane,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13000,Osoby prywatnej,Osobowe,Opel,Astra,H (2004-2014),2007,216 000 km,1 900 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,0,0,0,0,Tak,0,0,Używane,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,Tak,Tak,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8700,Osoby prywatnej,Osobowe,Opel,Astra,G (1998-2009),2003,172 536 km,1 598 cm3,Benzyna,101 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Zielony,0,0,Niemcy,3 czerwiec 2003,0,Tak,0,Używane,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,Tak,Tak,1,0,0,Tak,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
