,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
0,50300.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,105545.0,1956.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,9000.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,303000.0,1300.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,13200.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,194554.0,1900.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,5700.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,213000.0,1600.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4,11600.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,232908.0,1700.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12900.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,188200.0,1248.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
6,10500.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,224000.0,1700.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
8,13000.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,216000.0,1900.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,8700.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,172536.0,1598.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
10,5700.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,196360.0,1686.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6999.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,136000.0,1700.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
12,11900.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,211000.0,1364.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,12900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,182000.0,1600.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
14,16900.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,174262.0,1796.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
15,29990.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,169000.0,1598.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
16,4900.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,115520.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,24900.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,200000.0,1956.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
18,22900.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,108700.0,1598.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
20,10600.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,228000.0,1900.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,33999.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,134000.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,11900.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,281000.0,1910.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
24,23999.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,116000.0,1400.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
26,12990.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,184000.0,2000.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
28,15000.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,129800.0,1600.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,13900.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,221000.0,1900.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
32,49900.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,71800.0,1399.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
33,4500.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,307000.0,1600.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,30900.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,177132.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,12900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,176200.0,1600.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,13600.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,126000.0,1600.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
